name_guess,number_guess,db_name_override,db_number_override
Billy Laninovich,145,Billy Laninovich,145
Brad West,45,Brad West,45
Brandon Ray,52,Brandon Ray,52
Cole Thompson,84,Cole Thompson,84
Coty Schock,10,Coty Schock,69
Aaron Plessinger,10,Aaron Plessinger,7
Eli Tomac,3,Eli Tomac,3
Jett Lawrence,18,Jett Lawrence,18
Chase Sexton,4,Chase Sexton,4
Haiden Deegan,38,Haiden Deegan,38
RJ Hampshire,10,RJ Hampshire,24
Jordon Smith,10,Jordon Smith,31
Jo Shimoda,10,Jo Shimoda,30
Hunter Lawrence,10,Hunter Lawrence,96
Jason Anderson,10,Jason Anderson,21
Justin Barcia,10,Justin Barcia,51
Justin Cooper,10,Justin Cooper,32
Ken Roczen,10,Ken Roczen,94
Levi Kitchen,10,Levi Kitchen,47
Malcolm Stewart,10,Malcolm Stewart,27
Dean Wilson,10,Dean Wilson,15
Cameron McAdoo,10,Cameron McAdoo,63
Chance Hymas,10,Chance Hymas,48
Daxton Bennick,10,Daxton Bennick,59
Dylan Ferrandis,10,Dylan Ferrandis,14
Garrett Marchbanks,10,Garrett Marchbanks,26
Mitchell Oldenburg,10,Mitchell Oldenburg,54
Mitchell Harrison,10,Mitchell Harrison,46
Max Vohland,10,Max Vohland,20
Pierce Brown,10,Pierce Brown,39
Seth Hammaker,10,Seth Hammaker,43
Stilez Robertson,10,Stilez Robertson,56
Tom Vialle,10,Tom Vialle,16
Ty Masterpool,10,Ty Masterpool,29
Vince Friese,10,Vince Friese,39
Ryder DiFrancesco,10,Ryder DiFrancesco,75
Shane McElrath,10,Shane McElrath,12
Christian Craig,10,Christian Craig,28
Cullin Park,10,Cullin Park,67
Cade Clason,10,Cade Clason,68
Fredrik Noren,10,Fredrik Noren,40
Grant Harlan,10,Grant Harlan,11
Lorenzo Locurcio,10,Lorenzo Locurcio,44
Luke Neese,10,Luke Neese,125
Marshal Weltin,10,Marshal Weltin,50
Max Anstie,10,Max Anstie,99
Michael Mosiman,10,Michael Mosiman,76
Nate Thrasher,10,Nate Thrasher,57
Enzo Lopes,10,Enzo Lopes,50
R.J. Hampshire,10,RJ Hampshire,24
Jorge Prado,10,Jorge Prado,61
Joshua Varize,10,Joshua Varize,78
Julien Beaumer,10,Julien Beaumer,929
Jack Chambers,10,Jack Chambers,192
Justin Hill,10,Justin Hill,46
Justin Starling,10,Justin Starling,60
Jerry Robin,10,Jerry Robin,67
Henry Miller,10,Henry Miller,81
Hardy Munoz,10,Hardy Munoz,66
Cole Davies,10,Cole Davies,200